"type","id","author","editor","advisor","note","title","pages","article_no","num_pages","keywords","doi","journal","issue_date","volume","issue_no","description","month","year","issn","booktitle","acronym","edition","isbn","conf_loc","publisher","publisher_loc"
"article","2989224","Giovanni  Viviani and Gail C.  Murphy","","","","Removing Stagnation from Modern Code Review","43--44","","2","code inspection, software development process","10.1145/2984043.2989224","","","","","","","2016","","Companion Proceedings of the 2016 ACM SIGPLAN International Conference on Systems, Programming, Languages and Applications: Software for Humanity","SPLASH Companion 2016","","978-1-4503-4437-1","Amsterdam, Netherlands","ACM","New York, NY, USA"
"article","381487","Alastair  Dunsmore and Marc  Roper and Murray  Wood","","","","Systematic Object-oriented Inspection &Mdash; an Empirical Study","135--144","","10","code inspection, code review, empirical methods, object-oriented","","","","","","","","2001","","Proceedings of the 23rd International Conference on Software Engineering","ICSE '01","","0-7695-1050-7","Toronto, Ontario, Canada","IEEE Computer Society","Washington, DC, USA"
"article","2593706","Xi  Ge and Saurabh  Sarkar and Emerson  Murphy-Hill","","","","Towards Refactoring-aware Code Review","99--102","","4","Code Review, Refactoring, Refactoring Detection","10.1145/2593702.2593706","","","","","","","2014","","Proceedings of the 7th International Workshop on Cooperative and Human Aspects of Software Engineering","CHASE 2014","","978-1-4503-2860-9","Hyderabad, India","ACM","New York, NY, USA"
"article","1953201","Christopher D. Hundhausen and Pawan  Agarwal and Michael  Trevisan","","","","Online vs. Face-to-face Pedagogical Code Reviews: An Empirical Comparison","117--122","","6","CS1, code inspection, pedagogical code review, peer review, studio-based learning and instruction","10.1145/1953163.1953201","","","","","","","2011","","Proceedings of the 42Nd ACM Technical Symposium on Computer Science Education","SIGCSE '11","","978-1-4503-0500-6","Dallas, TX, USA","ACM","New York, NY, USA"
"article","1734432","Christopher  Hundhausen and Anukrati  Agrawal and Dana  Fairbrother and Michael  Trevisan","","","","Does Studio-based Instruction Work in CS 1?: An Empirical Comparison with a Traditional Approach","500--504","","5","code inspection, cs1, pedagogical code review, peer review, studio-based learning and instruction","10.1145/1734263.1734432","","","","","","","2010","","Proceedings of the 41st ACM Technical Symposium on Computer Science Education","SIGCSE '10","","978-1-4503-0006-3","Milwaukee, Wisconsin, USA","ACM","New York, NY, USA"
"article","2597076","Shane  McIntosh and Yasutaka  Kamei and Bram  Adams and Ahmed E.  Hassan","","","","The Impact of Code Review Coverage and Code Review Participation on Software Quality: A Case Study of the Qt, VTK, and ITK Projects","192--201","","10","Code reviews, software quality","10.1145/2597073.2597076","","","","","","","2014","","Proceedings of the 11th Working Conference on Mining Software Repositories","MSR 2014","","978-1-4503-2863-0","Hyderabad, India","ACM","New York, NY, USA"
"article","2889243","Junji  Shimagaki and Yasutaka  Kamei and Shane  McIntosh and Ahmed E. Hassan and Naoyasu  Ubayashi","","","","A Study of the Quality-impacting Practices of Modern Code Review at Sony Mobile","212--221","","10","code review, software quality","10.1145/2889160.2889243","","","","","","","2016","","Proceedings of the 38th International Conference on Software Engineering Companion","ICSE '16","","978-1-4503-4205-6","Austin, Texas","ACM","New York, NY, USA"
"article","1734324","Christopher  Hundhausen and Anukrati  Agrawal and Kyle  Ryan","","","","The Design of an Online Environment to Support Pedagogical Code Reviews","182--186","","5","code inspection, cs1, online peer review environment, pedagogical code review, studio-based learning and instruction","10.1145/1734263.1734324","","","","","","","2010","","Proceedings of the 41st ACM Technical Symposium on Computer Science Education","SIGCSE '10","","978-1-4503-0006-3","Milwaukee, Wisconsin, USA","ACM","New York, NY, USA"
"article","2754844","Michael James Scott and Gheorghita  Ghinea","","","","Reliability in the Assessment of Program Quality by Teaching Assistants During Code Reviews","346--346","","1","agreement, assessment, code inspection, code review, consistency, grading, programming, quality, reliability","10.1145/2729094.2754844","","","","","","","2015","","Proceedings of the 2015 ACM Conference on Innovation and Technology in Computer Science Education","ITiCSE '15","","978-1-4503-3440-2","Vilnius, Lithuania","ACM","New York, NY, USA"
"article","1508972","Christopher  Hundhausen and Anukrati  Agrawal and Dana  Fairbrother and Michael  Trevisan","","","","Integrating Pedagogical Code Reviews into a CS 1 Course: An Empirical Study","291--295","","5","code inspection, cs education research, cs1, pedagogical code review, studio-based learning and instruction","10.1145/1539024.1508972","SIGCSE Bull.","March 2009","41","1","","March","2009","0097-8418","","","","","","ACM","New York, NY, USA"
"article","1508972","Christopher  Hundhausen and Anukrati  Agrawal and Dana  Fairbrother and Michael  Trevisan","","","","Integrating Pedagogical Code Reviews into a CS 1 Course: An Empirical Study","291--295","","5","code inspection, cs education research, cs1, pedagogical code review, studio-based learning and instruction","10.1145/1508865.1508972","","","","","","","2009","","Proceedings of the 40th ACM Technical Symposium on Computer Science Education","SIGCSE '09","","978-1-60558-183-5","Chattanooga, TN, USA","ACM","New York, NY, USA"
"article","2597082","Moritz  Beller and Alberto  Bacchelli and Andy  Zaidman and Elmar  Juergens","","","","Modern Code Reviews in Open-source Projects: Which Problems Do They Fix?","202--211","","10","Code Review, Defects, Open Source Software","10.1145/2597073.2597082","","","","","","","2014","","Proceedings of the 11th Working Conference on Mining Software Repositories","MSR 2014","","978-1-4503-2863-0","Hyderabad, India","ACM","New York, NY, USA"
"article","3021474","Shivam  Khandelwal and Sai Krishna Sripada and Y. Raghu Reddy","","","","Impact of Gamification on Code Review Process: An Experimental Study","122--126","","5","Architectural Framework, Classification, Code Reviews, Evaluation, Gamification, Text Analysis","10.1145/3021460.3021474","","","","","","","2017","","Proceedings of the 10th Innovations in Software Engineering Conference","ISEC '17","","978-1-4503-4856-0","Jaipur, India","ACM","New York, NY, USA"
"article","65450","Scott M. Stevens","","","","Intelligent Interactive Video Simulation of a Code Inspection","832--843","","12","","10.1145/65445.65450","Commun. ACM","July 1989","32","7","","July","1989","0001-0782","","","","","","ACM","New York, NY, USA"
"article","1409733","Chris  Parnin and Carsten  G&#246;rg and Ogechi  Nnadi","","","","A Catalogue of Lightweight Visualizations to Support Code Smell Inspection","77--86","","10","code inspection, code smells, lightweight visualization, refactoring","10.1145/1409720.1409733","","","","","","","2008","","Proceedings of the 4th ACM Symposium on Software Visualization","SoftVis '08","","978-1-60558-112-5","Ammersee, Germany","ACM","New York, NY, USA"
"article","2499951","Christopher D. Hundhausen and Anukrati  Agrawal and Pawan  Agarwal","","","","Talking About Code: Integrating Pedagogical Code Reviews into Early Computing Courses","14:1--14:28","14","28","Studio-based learning and instruction, computer-supported collaborative learning, pedagogical code reviews","10.1145/2499947.2499951","Trans. Comput. Educ.","August 2013","13","3","","August","2013","1946-6226","","","","","","ACM","New York, NY, USA"
"article","3180206","Nikolaos  Tsantalis and Matin  Mansouri and Laleh M. Eshkevari and Davood  Mazinanian and Danny  Dig","","","","Accurate and Efficient Refactoring Detection in Commit History","483--494","","12","Git, Oracle, abstract syntax tree, accuracy, commit, refactoring","10.1145/3180155.3180206","","","","","","","2018","","Proceedings of the 40th International Conference on Software Engineering","ICSE '18","","978-1-4503-5638-1","Gothenburg, Sweden","ACM","New York, NY, USA"
"article","2486882","Alberto  Bacchelli and Christian  Bird","","","","Expectations, Outcomes, and Challenges of Modern Code Review","712--721","","10","","","","","","","","","2013","","Proceedings of the 2013 International Conference on Software Engineering","ICSE '13","","978-1-4673-3076-3","San Francisco, CA, USA","IEEE Press","Piscataway, NJ, USA"
"article","337343","Alastair  Dunsmore and Marc  Roper and Murray  Wood","","","","Object-oriented Inspection in the Face of Delocalisation","467--476","","10","code inspection, delocalisation, object-oriented","10.1145/337180.337343","","","","","","","2000","","Proceedings of the 22Nd International Conference on Software Engineering","ICSE '00","","1-58113-206-9","Limerick, Ireland","ACM","New York, NY, USA"
"article","2602687","Joe Gibbs Politz and Shriram  Krishnamurthi and Kathi  Fisler","","","","CaptainTeach: A Platform for In-flow Peer Review of Programming Assignments","332--332","","1","code review, peer review","10.1145/2591708.2602687","","","","","","","2014","","Proceedings of the 2014 Conference on Innovation &#38; Technology in Computer Science Education","ITiCSE '14","","978-1-4503-2833-3","Uppsala, Sweden","ACM","New York, NY, USA"
"article","1852850","&#214;zlem  Albayrak and David  Davenport","","","","Impact of Maintainability Defects on Code Inspections","50:1--50:4","50","4","Code inspections and walk-throughs, code inspection effectiveness, source code inspection","10.1145/1852786.1852850","","","","","","","2010","","Proceedings of the 2010 ACM-IEEE International Symposium on Empirical Software Engineering and Measurement","ESEM '10","","978-1-4503-0039-1","Bolzano-Bozen, Italy","ACM","New York, NY, USA"
"article","2820540","Patanamon  Thongtanunam and Shane  McIntosh and Ahmed E. Hassan and Hajimu  Iida","","","","Investigating Code Review Practices in Defective Files: An Empirical Study of the Qt System","168--179","","12","code review, software quality","","","","","","","","2015","","Proceedings of the 12th Working Conference on Mining Software Repositories","MSR '15","","978-0-7695-5594-2","Florence, Italy","IEEE Press","Piscataway, NJ, USA"
"article","1370104","Christian R. Prause and Stefan  Apelt","","","","An Approach for Continuous Inspection of Source Code","17--22","","6","code inspection, collaborative work, revision control","10.1145/1370099.1370104","","","","","","","2008","","Proceedings of the 6th International Workshop on Software Quality","WoSQ '08","","978-1-60558-023-4","Leipzig, Germany","ACM","New York, NY, USA"
"article","2661674","Everton L. G.  Alves and Myoungkyu  Song and Miryung  Kim","","","","RefDistiller: A Refactoring Aware Code Review Tool for Inspecting Manual Refactoring Edits","751--754","","4","Software evolution, refactoring","10.1145/2635868.2661674","","","","","","","2014","","Proceedings of the 22Nd ACM SIGSOFT International Symposium on Foundations of Software Engineering","FSE 2014","","978-1-4503-3056-5","Hong Kong, China","ACM","New York, NY, USA"
"article","2962601","Behjat  Soltanifar and Atakan  Erdem and Ayse  Bener","","","","Predicting Defectiveness of Software Patches","22:1--22:10","22","10","Code Review Quality, Code review, Defect Prediction, Software Patch Defectiveness","10.1145/2961111.2962601","","","","","","","2016","","Proceedings of the 10th ACM/IEEE International Symposium on Empirical Software Engineering and Measurement","ESEM '16","","978-1-4503-4427-2","Ciudad Real, Spain","ACM","New York, NY, USA"
"article","2661687","Andrew  Meneely and Alberto C. Rodriguez  Tejeda and Brian  Spates and Shannon  Trudeau and Danielle  Neuberger and Katherine  Whitlock and Christopher  Ketant and Kayla  Davis","","","","An Empirical Investigation of Socio-technical Code Review Metrics and Security Vulnerabilities","37--44","","8","code review, socio-technical, vulnerability","10.1145/2661685.2661687","","","","","","","2014","","Proceedings of the 6th International Workshop on Social Software Engineering","SSE 2014","","978-1-4503-3227-9","Hong Kong, China","ACM","New York, NY, USA"
"article","2074771","Felix  Raab","","","","Collaborative Code Reviews on Interactive Surfaces","263--264","","2","code review, collaborative reviews, natural interaction, refactoring, software inspection, tabletop","10.1145/2074712.2074771","","","","","","","2011","","Proceedings of the 29th Annual European Conference on Cognitive Ergonomics","ECCE '11","","978-1-4503-1029-1","Rostock, Germany","ACM","New York, NY, USA"
"article","2819348","Naomi  Unkelos-Shpigel and Irit  Hadar","","","","Gamifying Software Engineering Tasks Based on Cognitive Principles: The Case of Code Review","119--120","","2","boundary object, code review, gamification","","","","","","","","2015","","Proceedings of the Eighth International Workshop on Cooperative and Human Aspects of Software Engineering","CHASE '15","","","Florence, Italy","IEEE Press","Piscataway, NJ, USA"
"article","1370136","Christian R. Prause and Markus  Eisenhauer","","","","Social Aspects of a Continuous Inspection Platform for Software Source Code","85--88","","4","code inspection, code ownership, software quality","10.1145/1370114.1370136","","","","","","","2008","","Proceedings of the 2008 International Workshop on Cooperative and Human Aspects of Software Engineering","CHASE '08","","978-1-60558-039-5","Leipzig, Germany","ACM","New York, NY, USA"
"article","304402","Premkumar T. Devanbu","","","","GENOA&Mdash;a Customizable, Front-end-retargetable Source Code Analysis Framework","177--212","","36","code inspection, metrics, reverse engineering, source analysis","10.1145/304399.304402","ACM Trans. Softw. Eng. Methodol.","April 1999","8","2","","April","1999","1049-331X","","","","","","ACM","New York, NY, USA"
"article","2950323","Tobias  Baum and Olga  Liskin and Kai  Niklas and Kurt  Schneider","","","","Factors Influencing Code Review Processes in Industry","85--96","","12","Code reviews, Empirical software engineering","10.1145/2950290.2950323","","","","","","","2016","","Proceedings of the 2016 24th ACM SIGSOFT International Symposium on Foundations of Software Engineering","FSE 2016","","978-1-4503-4218-6","Seattle, WA, USA","ACM","New York, NY, USA"
