"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication_Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,"Reference Count","Copyright Year","License","Online Date",Issue Date,"Meeting Date","Publisher",Document Identifier
"Characterization of the Xen Project Code Review Process: an Experience Report","D. Izquierdo-Cortazar; L. Kurth; J. M. González-Barahona; S. Dueñas; N. Sekitoleko","NA; NA; NA; NA; NA","2016 IEEE/ACM 13th Working Conference on Mining Software Repositories (MSR)","","2016","","","386","390","Many software development projects have introduced mandatory code review for every change to the code. This means that the project needs to devote a significant effort to review all proposed changes, and that their merging into the code base may get considerably delayed. Therefore, all those projects need to understand how code review is working, and the delays it is causing in time to merge. This is the case in the Xen project, which performs peer review using mailing lists. During the first half of 2015, some people in the project observed a large and sustained increase in the number of messages related to code review, which had started some years before. This observation led to concerns on whether the code review process was having some trouble, and too large an impact on the overall development process. Those concerns were addressed with a quantitative study, which is presented in this paper. Based on the information in code review messages, some metrics were defined to infer delays imposed by code review. The study produced quantitative data suitable for informed discussion, which the project is using to understand its code review process, and to take decisions to improve it.","","978-1-4503-4186-8978-1-5090-2242","10.1109/MSR.2016.046","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7832917","data mining;software process;code review","Databases;Software;Market research;Message systems;Data mining;Merging;Delays","software engineering","quantitative data;code review messages;mailing lists;peer review;software development projects;Xen project code review process","","","7","","","","","","IEEE","IEEE Conferences"
"Automated API migration in a user-extensible refactoring tool for Erlang programs","H. Li; S. Thompson","University of Kent, UK; University of Kent, UK","2012 Proceedings of the 27th IEEE/ACM International Conference on Automated Software Engineering","","2012","","","294","297","Wrangler is a refactoring and code inspection tool for Erlang programs. Apart from providing a set of built-in refactorings and code inspection functionalities, Wrangler allows users to define refactorings, code inspections, and general program transformations for themselves to suit their particular needs. These are defined using a template- and rule-based program transformation and analysis framework built into Wrangler. This paper reports an extension to Wrangler's extension framework, supporting the automatic generation of API migration refactorings from a user-defined adapter module.","","978-1-4503-1204-2978-1-4503-1204","10.1145/2351676.2351727","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6494939","API migration;Erlang;Wrangler;refactoring;rewrite rule;software engineering;template","","application program interfaces;knowledge based systems;program diagnostics;programming languages;software maintenance","automated API migration refactoring;user-extensible refactoring tool;Erlang programs;Wrangler;code inspection tool;general program transformations;template-and rule-based program transformation;template-and rule-based program analysis framework;user-defined adapter module","","1","8","","","","","","IEEE","IEEE Conferences"
"Statistical process control to improve coding and code review","A. L. Jacob; S. K. Pillai","NeST, Kerala, India; NeST, Kerala, India","IEEE Software","","2003","20","3","50","55","Software process comprises activities such as estimation, planning, requirements analysis, design, coding, reviews, and testing, undertaken when creating a software product. Effective software process management involves proactively managing each of these activities. Statistical process control tools enable proactive software process management. One such tool, the control chart, can be used for managing, controlling, and improving the code review process.","0740-7459;1937-4194","","10.1109/MS.2003.1196321","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1196321","","Process control;Control charts;Quality assurance;Software performance;Software quality;Software tools;Quality management;Jacobian matrices;Size control;Resource management","software development management;statistical process control;software quality;quality management","process behavior prediction;code review processes;control charts;statistical process control;software development;software process management","","25","12","","","","","","IEEE","IEEE Journals & Magazines"
"Quality Assurance of Peer Code Review Process: A Web-Based MIS","Y. Wang; X. Zhang; L. Yu; H. Huang","NA; NA; NA; NA","2008 International Conference on Computer Science and Software Engineering","","2008","2","","631","634","The software industry and most multinational IT companies are starving for software engineers who can write high quality codes. Universities and colleges, being the most important educational institutions, should of course shoulder the burden to cultivate such qualified software engineers. Many methods have been explored to make this educational task more efficient. Peer code review (PCR) is such a teaching process that can be used to help instructors teach more efficiently. After three years' implementation, the advantage of PCR has been revealed while some major problems have been addressed, e.g. it is unacceptably troublesome to control the whole process manually, and its quality is hard to handle. So a web-based MIS with built-in PCR was developed. The detailed design and implementation of this system is presented. It is believed that the MIS will help teachers assure the quality of the PCR process.","","978-0-7695-3336","10.1109/CSSE.2008.1141","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4722130","peer code review;quality assurance (QA);web-based MIS;cooperative learning;software engineering education","Quality assurance;Education;Software quality;Educational institutions;Computer science;Software engineering;Concrete;Switches;Computer industry;Process control","computer science education;DP industry;Internet;management information systems;software quality","quality assurance;peer code review process;Web-based MIS;software industry;multinational IT companies;software engineers;high quality codes;universities;colleges;educational institutions;teaching process","","1","7","","","","","","IEEE","IEEE Conferences"
"Refactoring-aware code review","X. Ge; S. Sarkar; J. Witschey; E. Murphy-Hill","Apple Inc., USA; Microsoft Corporation, USA; North Carolina State University, USA; North Carolina State University, USA","2017 IEEE Symposium on Visual Languages and Human-Centric Computing (VL/HCC)","","2017","","","71","79","Code review, where developers manually inspect one another's code changes, improves software quality and transfers knowledge in a team. Unfortunately, tools that support code review treat behavior-preserving changes, or refactorings, and behavior-altering changes, or non-refactorings, the same way, so developers have to spend effort differentiating between the two before they can evaluate the impact of a change set. In this paper, we describe a formative study of 35 developers that motivates the need for separating refactorings from non-refactorings during code review. Then, we present a refactoring-aware code review tool, called ReviewFactor, that differentiates between refactoring and non-refactoring, and allows developers to focus on one of them at a time. Finally, a case study of two open source projects suggests that ReviewFactor detects refactorings in 39% of the commits, and identifies 4.6% of the total lines of code change as refactorings. Our results also show that the precision and recall of ReviewFactor's refactoring detection algorithm are 92.5% and 94.2%, respectively.","1943-6106","978-1-5386-0443-4978-1-5386-0444","10.1109/VLHCC.2017.8103453","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8103453","","Tools;Software;Manuals;Solids;Visualization;Detection algorithms;Java","software maintenance;software quality;software reviews","behavior-altering changes;refactoring-aware code review tool;code change;software quality;behavior-preserving changes;refactoring detection algorithm;ReviewFactor","","","42","","","","","","IEEE","IEEE Conferences"
"Refactoring Inspection Support for Manual Refactoring Edits","E. L. G. Alves; M. Song; T. Massoni; P. D. L. Machado; M. Kim","Computer Science Department, Federal University of Campina Grande, Campina Grande, Brazil; Computer Science Department, The University of Nebraska at Omaha, Omaha, NE; Computer Science Department, Universidade Federal de Campina Grande, Campina Grande, PB, Brazil; Systems and Computing Department, Federal University of Campina Grande, Campina Grande, Brazil; Computer Science Department, University of California, Los Angeles, CA","IEEE Transactions on Software Engineering","","2018","44","4","365","383","Refactoring is commonly performed manually, supported by regression testing, which serves as a safety net to provide confidence on the edits performed. However, inadequate test suites may prevent developers from initiating or performing refactorings. We propose RefDistiller, a static analysis approach to support the inspection of manual refactorings. It combines two techniques. First, it applies predefined templates to identify potential missed edits during manual refactoring. Second, it leverages an automated refactoring engine to identify extra edits that might be incorrect. RefDistiller also helps determine the root cause of detected anomalies. In our evaluation, RefDistiller identifies 97 percent of seeded anomalies, of which 24 percent are not detected by generated test suites. Compared to running existing regression test suites, it detects 22 times more anomalies, with 94 percent precision on average. In a study with 15 professional developers, the participants inspected problematic refactorings with RefDistiller versus testing only. With RefDistiller, participants located 90 percent of the seeded anomalies, while they located only 13 percent with testing. The results show RefDistiller can help check the correctness of manual refactorings.","0098-5589;1939-3520;2326-3881","","10.1109/TSE.2017.2679742","National Science Foundation; Google Faculty Award; National Institute of Science and Technology for Software Engineering; CNPq/Brasil; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7874212","Refactoring;refactoring anomalies;code inspection","Manuals;Inspection;Testing;Computer bugs;Transforms;Engines;Detectors","program diagnostics;program testing;regression analysis;software maintenance","RefDistiller;seeded anomalies;refactoring inspection support;manual refactoring edits;regression testing;inadequate test suites;potential missed edits;automated refactoring engine;extra edits;generated test suites;running existing regression test suites;problematic refactorings","","1","49","","","","","","IEEE","IEEE Journals & Magazines"
"ReDA: A Web-Based Visualization Tool for Analyzing Modern Code Review Dataset","P. Thongtanunam; X. Yang; N. Yoshida; R. G. Kula; A. E. C. Cruz; K. Fujiwara; H. Iida","NA; NA; NA; NA; NA; NA; NA","2014 IEEE International Conference on Software Maintenance and Evolution","","2014","","","605","608","ReDA (http://reda.naist.jp/) is a web-based visualization tool for analyzing Modern Code Review (MCR) datasets for large Open Source Software (OSS) projects. MCR is a commonly practiced and lightweight inspection of source code using a support tool such as Gerrit system. Recently, mining code review history of such systems has received attention as a potentially effective method of ensuring software quality. However, due to increasing size and complexity of softwares being developed, these datasets are becoming unmanageable. ReDA aims to assist researchers of mining code review data by enabling better understand of dataset context and identifying abnormalities. Through real-time data interaction, users can quickly gain insight into the data and hone in on interesting areas to investigate. A video highlighting the main features can be found at: http://youtu.be/ fEoTRRas0U.","1063-6773","978-1-4799-6146","10.1109/ICSME.2014.106","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6976150","Modern Code Review;Mining software repository;Visualization tool","Data visualization;Data mining;History;Google;Software quality;Androids","data visualisation;Internet;software quality;software tools;source code (software)","ReDA;Web-based visualization tool;modern code review dataset;MCR datasets;open source software;OSS projects;source code;Gerrit system;mining code review history;software quality;mining code review data;real-time data interaction","","12","13","","","","","","IEEE","IEEE Conferences"
"Code review tool for Visual Programming Languages","G. Ragusa; H. Henriques","FCT/UNL, Almada, Portugal; OutSystems SA, Linda-a-Velha, Portugal","2018 IEEE Symposium on Visual Languages and Human-Centric Computing (VL/HCC)","","2018","","","287","288","Code review is a common practice in the software industry, in contexts spanning from open to close source, and from free to proprietary software. Modern code reviews are essentially conducted using cloud-based dedicated tools. Existing review tools focus in textual code. In contrast, support of low-code software languages, namely Visual Programming Languages (VPLs), is not readily available. This presents a challenge for the effectiveness of the review process with a VPL. This showpiece will present VPLreviewer, a code review tool for VPLs. VPLreviewer provides a wide range of mechanisms previously not available to a VPL. It is expected to improve of communication among the stakeholders who have to review artifacts constructed with VPLs, with mechanisms that are easy to learn, use and understand.","1943-6106;1943-6092","978-1-5386-4235-1978-1-5386-4236","10.1109/VLHCC.2018.8506527","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8506527","","Tools;Visualization;Software;Message systems;Computer languages;Context;Industries","object-oriented methods;public domain software;software maintenance;software quality;software tools;visual programming","modern code reviews;cloud-based dedicated tools;textual code;low-code software languages;visual programming languages;review process;code review tool;software industry;VPL;free-to-proprietary software;review tool focus","","","4","","","","","","IEEE","IEEE Conferences"
"Gamifying Software Engineering Tasks Based on Cognitive Principles: The Case of Code Review","N. Unkelos-Shpigel; I. Hadar","NA; NA","2015 IEEE/ACM 8th International Workshop on Cooperative and Human Aspects of Software Engineering","","2015","","","119","120","Code review is an important task in software development. However, performing code review is perceived, for the most part, as an undesired task, presenting several challenges to the required collaboration and knowledge transfer between programmers and reviewers. In order to overcome these challenges and improve the effectiveness of code review, we developed SCRUT: Social Code Review Unifying Tool. By recruiting relevant cognitive theories and implementing gamification elements to motivate collaboration and knowledge sharing between programmers and reviewers, we plan to enhance the task of code review. This paper presents our vision for enhancing software engineering via gamification, and the theoretical cognitive foundation on which this vision is based, starting with the example of code review.","","978-1-4673-7031","10.1109/CHASE.2015.21","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7166104","Gamification;code review;boundary object","Software engineering;Games;Software;Collaboration;Conferences;Context","program compilers;software engineering","Gamifying software engineering tasks;cognitive principles;code review case;software development;knowledge transfer;social code review unifying tool;SCRUT;knowledge sharing","","4","7","","","","","","IEEE","IEEE Conferences"
"A Task-Based Code Review Process and Tool to Comply with the DO-278/ED-109 Standard for Air Traffic Managment Software Development: An Industrial Case Study","M. Bernhart; S. Reiterer; K. Matt; A. Mauczka; T. Grechenig","NA; NA; NA; NA; NA","2011 IEEE 13th International Symposium on High-Assurance Systems Engineering","","2011","","","182","187","Software reviews are one of the most efficient quality assurance techniques in software engineering. They are required for the enhancement of the software quality in early phases of the development process and often used in development of safety critical systems. In the field of software engineering for Air Traffic Management (ATM) the standard DO-278/ED-109 requires the rigorous application of code reviews and fully traceable reporting of the results. This case study presents a process and an IDE-integrated tool that complies with the requirements of the standard.","1530-2059;1530-2059","978-1-4673-0107-7978-0-7695-4615","10.1109/HASE.2011.54","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6113895","code review;code inspection;DO-278;ED-109;Air Traffic Management","Software;Servers;Planning;Companies;Programming;Inspection;Asynchronous transfer mode","air traffic;safety-critical software;software quality;software standards;task analysis","task-based code review process;DO-278/ED-109 standard;air traffic management software development;software reviews;quality assurance;software engineering;software quality;safety critical systems","","2","12","","","","","","IEEE","IEEE Conferences"
